Arttırılabilir Azami Bellek,Bağlantılar,Bağlantılar (İkincil),Beden,Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran Kartı,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Yenileme Hızı,Ekran Özelliği,Garanti Süresi,Garanti Tipi,Görüntü Kalitesi,HDMI,Hard Disk Kapasitesi,Kapasite,Klavye,Kullanım Amacı,Maksimum İşlemci Hızı (GHz),Okula Dönüş,Optik Sürücü Tipi,Panel Tipi,Power Supply,Ram (Sistem Belleği),Ram (Sistem Belleği) Tipi,Renk,SSD Kapasitesi,SSD Teknolojisi,Soket Tipi,Temel İşlemci Hızı (GHz),Çözünürlük,Çözünürlük Standartı,İşlemci Frekansı,İşlemci Modeli,İşlemci Nesli,İşlemci Tipi,İşlemci Çekirdek Sayısı,İşletim Sistemi,Şarjlı Kullanım Süresi,url,price
,HDMI,,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce MX350,GDDR5,2 GB,Harici,60 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,Ev - Okul,,,Yok,,,8 GB,DDR4,Gri,512 GB,,,2.4,1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//acer/aspire-3-nx-aduey-001-intel-core-i5-1135g7-8gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-p-168690147?boutiqueId=61&merchantId=106934,14.499 TL
8 GB,Wi-Fi,,Tek Ebat,2 - 4 kg,,"19"" / 48 Ekran",Nvidia GT730,DDR3,4 GB,Harici,60 Hz,,2 Yıl,Resmi Distribütör Garantili,,Var,500 GB,500 GB,RGB,Oyun,,,Yok,TN,250 - 350 W,8 GB,DDR3,Siyah,120 GB,,LGA 1156,3.2,1366 x 768,HD Ready (HD),3.00 GHz üstü,İ5-650,1. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//zeiron/px20-i5-650-8gb-120gb-500gb-4gb-18-5-oyun-bilgisayari-p-58823397?boutiqueId=61&merchantId=127037&advertItems=eyJhZHZlcnRJZCI6IjYxZGZmZTVkLTBmZTAtNGNhNy1hYmRmLTBiNjJmMTEyNDU0YSIsInNvcnRpbmdTY29yZSI6MC4wODQ0ODkxODcyMjU2OTk0MiwiYWRTY29yZSI6MC4wNTExNTkwNjUyMTY3Nzk3MSwiYWRTY29yZXMiOnsiMSI6MC4wNTExNTkwNjUyMTY3Nzk3MSwiMiI6MC4wNTExNTkwNjUyMTY3Nzk3MX0sImNwYyI6MS42NTAwMDAwMDAwMDAwMDAxLCJtaW5DcGMiOjAsImVDcGMiOjEuNjUwMDAwMDAwMDAwMDAwMSwiYWR2ZXJ0U2xvdCI6MzQsIm9yZGVyIjoxNSwic2VhcmNoVGVybSI6ImJpbGdpc2F5YXIiLCJhdHRyaWJ1dGVzIjoiIn0=,7.549 TL
,HDMI - USB,,,2 - 4 kg,Yok,"15,6 inç",Intel Iris Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,Dell Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Ofis - İş,,,,,,8 GB,DDR4,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),,1135G7,11. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//dell/inspiron-3520-intel-core-i5-1135g7-8gb-512gb-ssd-ubuntu-15-6-fhd-120hz-tasinabilir-bilgisayar-p-777710981?boutiqueId=61&merchantId=107301,12.959 TL
,USB,,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,4.7,,,IPS,,8 GB,DDR5,Gri,512 GB,,,3.2,1920 x 1080,Full HD (FHD),,7735HS,7. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//asus/tuf-gaming-a15-fa507nu-lp053-amd-r7-7735hs-8gb-512gb-ssd-rtx4050-144-hz-dos-15-6-fhd-p-654338236?boutiqueId=61&merchantId=106740,29.949 TL
,USB - Bluetooth - HDMI,,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (RGB Aydınlatmalı),Oyun,,,,IPS,,16 GB,DDR5,Mavi,512 GB,,,,1920 x 1080,Full HD (FHD),,7840HS,7. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//hp/victus-16-s0022nt-r7-7840hs-16gb-512gb-ssd-rtx4050-6gb-dos-16-1-144hz-notebook-7z588ea-p-739506836?boutiqueId=61&merchantId=106740,30.799 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//zeiron/gt67-i5-3470-16gb-512gb-ssd-nvidia-gt730-4gb-23-8-oyuncu-masaustu-bilgisayar-p-647229451?boutiqueId=626264&merchantId=127037&advertItems=eyJhZHZlcnRJZCI6IjYxZGZmZTVkLTBmZTAtNGNhNy1hYmRmLTBiNjJmMTEyNDU0YSIsInNvcnRpbmdTY29yZSI6MC4wODQ0NjM5MjQxNjk1NDA0LCJhZFNjb3JlIjowLjA1MTE5MDI1NzA3MjQ0ODczLCJhZFNjb3JlcyI6eyIxIjowLjA1MTE5MDI1NzA3MjQ0ODczLCIyIjowLjA1MTE5MDI1NzA3MjQ0ODczfSwiY3BjIjoxLjY1MDAwMDAwMDAwMDAwMDEsIm1pbkNwYyI6MCwiZUNwYyI6MS42NTAwMDAwMDAwMDAwMDAxLCJhZHZlcnRTbG90IjozNSwib3JkZXIiOjE5LCJzZWFyY2hUZXJtIjoiYmlsZ2lzYXlhciIsImF0dHJpYnV0ZXMiOiIifQ==,9.349 TL
,USB,,,2 kg ve Altı,Yok,16 inç,Dahili Ekran Kartı,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,16 GB,Q Türkçe,Ofis - İş,4.7,,Yok,IPS,,16 GB,Belirtilmemiş,Gümüş,512 GB,,,3.5,1920 x 1200,Full HD (FHD),,12700H,12. Nesil,Intel Core i7,14,Windows,,https://www.trendyol.com//huawei/matebook-d16-i7-12700h-16gb-512gb-win11-16-uzay-gri-p-335912812?boutiqueId=61&merchantId=727277,26.799 TL
16 GB,HDMI,,Tek Ebat,4 kg ve Üstü,,22 - 24 inç,AMD Radeon RX 550,GDDR5,4 GB,Harici,75 Hz,,2 Yıl,Zeiron Türkiye Garantili,,Var,,1 TB,RGB,Oyun,,Üniversite,Yok,IPS,500 W ve üstü,16 GB,,,256 GB,,,3.2,1920 x 1080,Full HD (FHD),3.00 GHz üstü,İ5-3470,3. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//zeiron/dr15-i5-3470-16gb-256gb-ssd-1tb-hdd-rx550-4gb-23-8-curved-oyuncu-masaustu-bilgisayari-p-660626460?boutiqueId=61&merchantId=127037,13.399 TL
,USB - Bluetooth - HDMI,,,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 3050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.7,,,IPS,,32 GB,DDR4,Siyah,1 TB,Gen 4,,2.6,1920 x 1080,Full HD (FHD),,13500H,13. Nesil,Intel Core i5,12,Free Dos,3 Saat ve Altı,https://www.trendyol.com//monster/abra-a7-v14-4-2-intel-core-i5-13500h-32-gb-ram-1-tb-ssd-6-gb-rtx-3050-freedos-17-3-fhd-144-hz-p-736035477?boutiqueId=623361&merchantId=968,30.999 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//zeiron/vulcan-lite-x20-i5-3470-8gb-120gb-500gb-gt730-18-5-oyun-bilgisayari-p-52976526?boutiqueId=626264&merchantId=127037&advertItems=eyJhZHZlcnRJZCI6IjYxZGZmZTVkLTBmZTAtNGNhNy1hYmRmLTBiNjJmMTEyNDU0YSIsInNvcnRpbmdTY29yZSI6MC4wODM2ODgzMjk5MDUyNzE1MywiYWRTY29yZSI6MC4wNTA3MjAxOTk5NDI1ODg4MDYsImFkU2NvcmVzIjp7IjEiOjAuMDUwNzIwMTk5OTQyNTg4ODA2LCIyIjowLjA1MDcyMDE5OTk0MjU4ODgwNn0sImNwYyI6MS42NTAwMDAwMDAwMDAwMDAxLCJtaW5DcGMiOjAsImVDcGMiOjEuNjUwMDAwMDAwMDAwMDAwMSwiYWR2ZXJ0U2xvdCI6MzYsIm9yZGVyIjoyMywic2VhcmNoVGVybSI6ImJpbGdpc2F5YXIiLCJhdHRyaWJ1dGVzIjoiIn0=,7.799 TL
,USB - Bluetooth - HDMI,,,2 - 4 kg,Yok,"17,3 inç",Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,144 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,5.0,,,IPS,,16 GB,DDR4,Siyah,1 TB,Gen 4,,2.4,1920 x 1080,Full HD (FHD),,13700H,13. Nesil,Intel Core i7,14,Free Dos,3 Saat ve Altı,https://www.trendyol.com//monster/abra-a7-v14-6-4-intel-core-i7-13700h-16-gb-ram-1-tb-ssd-6-gb-rtx-4050-freedos-17-3-fhd-144-hz-p-736035504?boutiqueId=61&merchantId=105286,34.199 TL
,Bluetooth,,,2 kg ve Altı,Yok,"15,6 inç",Intel Iris Graphics,Belirtilmemiş,Paylaşımlı,Dahili,120 Hz,,2 Yıl,Monster Türkiye Garantili,,,HDD Yok,1 TB,Q Türkçe,Ofis - İş,4.4,,Yok,IPS,,16 GB,DDR4,Gümüş,1 TB,,,1.3,1920 x 1080,Full HD (FHD),,1235U,12. Nesil,Intel Core i5,10,Free Dos,4-6 Saat,https://www.trendyol.com//monster/huma-h5-v4-1-6-intel-core-i5-1235u-16gb-ram-1tb-ssd-freedos-15-6-fhd-p-458191287?boutiqueId=61&merchantId=105286,19.999 TL
8 GB,Mini HDMI,,,2 kg ve Altı,Yok,"13,6 inç",M2 8 Çekirdekli,Dahili,8 GB,Dahili,120 Hz,,2 Yıl,Apple Türkiye Garantili,,,250 GB,,Q Türkçe (Aydınlatmasız),Ofis - İş,,,Yok,,,8 GB,DDR5,Gri,256 GB,,,3.3,2560 x 1600,Ultra HD 4K (UHD),,Belirtilmemiş,1. Nesil,Apple M2,1,Mac Os,6 Saat ve Üstü,https://www.trendyol.com//apple/macbook-air-13-6-m2-8gb-256gb-ssd-uzay-grisi-p-335392170?boutiqueId=61&merchantId=169540,34.499 TL
64 GB,HDMI,,,4 kg ve Üstü,,25 + inç,Nvidia GeForce GTX 1660 SUPER,GDDR6,6 GB,Harici,165 Hz,,2 Yıl,Resmi Distribütör Garantili,,Var,1 TB,1 TB,RGB,Oyun,,,Yok,VA,500 W ve üstü,32 GB,DDR4,,512 GB,Gen 3,AM4,3.6,1920 x 1080,Full HD (FHD),3.00 GHz üstü,3600,3. Nesil,AMD Ryzen 5,6,Free Dos,,https://www.trendyol.com//zeiron/ptx95-ryzen-5-3600-32gb-512gb-m-2-1tb-gtx1660-super-27-165hz-oyuncu-masaustu-bilgisayari-p-376355498?boutiqueId=61&merchantId=127037&advertItems=eyJhZHZlcnRJZCI6IjYxZGZmZTVkLTBmZTAtNGNhNy1hYmRmLTBiNjJmMTEyNDU0YSIsInNvcnRpbmdTY29yZSI6MC4wODQyMTM4ODEzODA4NTYwNSwiYWRTY29yZSI6MC4wNTEwMzg3MTU5ODgzOTc2LCJhZFNjb3JlcyI6eyIxIjowLjA1MTAzODcxNTk4ODM5NzYsIjIiOjAuMDUxMDM4NzE1OTg4Mzk3Nn0sImNwYyI6MS42NTAwMDAwMDAwMDAwMDAxLCJtaW5DcGMiOjAsImVDcGMiOjEuNjUwMDAwMDAwMDAwMDAwMSwiYWR2ZXJ0U2xvdCI6MzcsIm9yZGVyIjozLCJzZWFyY2hUZXJtIjoiYmlsZ2lzYXlhciIsImF0dHJpYnV0ZXMiOiIifQ==,21.779 TL
,,,,2 - 4 kg,Yok,"15,6 inç",Intel UHD Graphics,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe,Ev - Okul,,,Yok,,,8 GB,DDR4,Gri,256 GB,,,,1920 x 1080,Full HD (FHD),,1115G4,11. Nesil,Intel Core i3,2,Windows,,https://www.trendyol.com//huawei/matebook-d15-intel-core-i3-1115g4-8gb-256gb-ssd-fhd-windows-11-home-p-302313191?boutiqueId=61&merchantId=104883,14.299 TL
,HDMI,,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,165 Hz,,2 Yıl,ACER Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,,,,IPS,,8 GB,DDR5,Siyah,1 TB,,,,1920 x 1080,Full HD (FHD),,12700H,12. Nesil,Intel Core i7,14,Free Dos,,https://www.trendyol.com//acer/nitro5-intel-core-i7-12700h-8gb-1tb-ssd-8gb-rtx4060-dos-15-6-gaming-laptop-acer-turkiye-garantili-p-741177833?boutiqueId=61&merchantId=808901,33.990 TL
,Bluetooth,,,2 kg ve Altı,Yok,"15,6 inç",Intel XE Graphics,DDR4,8 GB,Dahili,90 Hz,,2 Yıl,Asus Türkiye Garantili,,,512 GB,,Q Türkçe (Aydınlatmasız),Ev - Okul,,,,,,8 GB,DDR4,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),,1235U,10. Nesil,Intel Core i5,10,Windows,,https://www.trendyol.com//asus/x1502za-ej490w-intel-i5-1235u-8gb-512gb-ssd-intel-iris-xe-graphics-15-6-fhd-w11-mavi-notebook-p-753701700?boutiqueId=61&merchantId=531736,14.839 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//zeiron/vulcan-lite-x20-i5-3470-8gb-120gb-500gb-gt730-18-5-oyun-bilgisayari-p-52976526?boutiqueId=626264&merchantId=127037&advertItems=eyJhZHZlcnRJZCI6IjYxZGZmZTVkLTBmZTAtNGNhNy1hYmRmLTBiNjJmMTEyNDU0YSIsInNvcnRpbmdTY29yZSI6MC4wODM2ODgzMjk5MDUyNzE1MywiYWRTY29yZSI6MC4wNTA3MjAxOTk5NDI1ODg4MDYsImFkU2NvcmVzIjp7IjEiOjAuMDUwNzIwMTk5OTQyNTg4ODA2LCIyIjowLjA1MDcyMDE5OTk0MjU4ODgwNn0sImNwYyI6MS42NTAwMDAwMDAwMDAwMDAxLCJtaW5DcGMiOjAsImVDcGMiOjEuNjUwMDAwMDAwMDAwMDAwMSwiYWR2ZXJ0U2xvdCI6MzgsIm9yZGVyIjo3LCJzZWFyY2hUZXJtIjoiYmlsZ2lzYXlhciIsImF0dHJpYnV0ZXMiOiIifQ==,7.799 TL
,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",Dahili Ekran Kartı,DDR4,Paylaşımlı,Dahili,60 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Ofis - İş,,,,,,8 GB,DDR4,Siyah,512 GB,,,,1920 x 1080,Full HD (FHD),,5700U,5. Nesil,AMD Ryzen 7,8,Windows,,https://www.trendyol.com//hp/15s-amd-ryzen-7-5700u-8gb-512gb-ssd-windows-11-home-15-6-fhd-tasinabilir-bilgisayar-793j8ea-p-761393117?boutiqueId=61&merchantId=641216,15.999 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//acer/a315-59-i5-1235u-8gb-ram-512ssd-2gb-mx550-15-6-fhd-windows-11-laptop-silver-nx-k6wey-001-p-366854044?boutiqueId=61&merchantId=887536,17.699 TL
,USB - Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",Intel Iris Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,Casper Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Ofis - İş,5.0,,,IPS,,16 GB,DDR4,Gri,500 GB,Gen 4,,,1920 x 1080,Full HD (FHD),,11390H,11. Nesil,Intel Core i7,4,Free Dos,,https://www.trendyol.com//casper/nirvana-x600-139h-bv00x-g-f-intel-core-i7-11390h-16-gb-ram-500gb-nvme-ssd-gen4-freedos-p-773800333?boutiqueId=623361&merchantId=968,15.499 TL
16 GB,HDMI,,,4 kg ve Üstü,,"24"" / 61 Ekran",Nvidia GeForce GTX1050 Ti,GDDR5,4 GB,Harici,,,2 Yıl,Resmi Distribütör Garantili,,Var,1 TB,1 TB,RGB,Oyun,,,Yok,IPS,350 - 500 W,16 GB,,,256 GB,,,3.2,1920 x 1080,Full HD (FHD),3.00 GHz üstü,İ5-3470,3. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//biggamex/nx02-i5-3470-16gb-ram-1tb-256gb-ssd-gtx1050ti-23-8-oyuncu-masaustu-bilgisayari-p-327527615?boutiqueId=61&merchantId=192618&advertItems=eyJhZHZlcnRJZCI6IjI4YjZlYzg3LThiMGYtNGVmZS1hYTJiLTI2YjMxMThlMjhlNSIsInNvcnRpbmdTY29yZSI6MC4wODM2NDA5NDExOTQ4OTE4OSwiYWRTY29yZSI6MC4wMzc3OTkzNzMyNjkwODExMTYsImFkU2NvcmVzIjp7IjEiOjAuMDM3Nzk5MzczMjY5MDgxMTE2LCIyIjowLjAzNzc5OTM3MzI2OTA4MTExNn0sImNwYyI6Mi4yMTI3NTk5OTk5OTk5OTksIm1pbkNwYyI6MCwiZUNwYyI6Mi4yMTI3NTk5OTk5OTk5OTksImFkdmVydFNsb3QiOjM5LCJvcmRlciI6MTEsInNlYXJjaFRlcm0iOiJiaWxnaXNheWFyIiwiYXR0cmlidXRlcyI6IiJ9,13.149 TL
16 GB,Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",AMD Radeon Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Ofis - İş,4.3,,,TN,,16 GB,DDR4,Gri,512 GB,,,1.8,1920 x 1080,Full HD (FHD),,5700U,5. Nesil,AMD Ryzen 7,8,Free Dos,4-6 Saat,https://www.trendyol.com//lenovo/ideapad-1-15alc7-amd-ryzen-7-5700u-16gb-512gb-ssd-freedos-15-6-fhd-82r4006gtr-p-739807076?boutiqueId=61&merchantId=105013,13.879 TL
,USB,,,2 kg ve Altı,Yok,14 inç,AMD Radeon Graphics,Belirtilmemiş,Paylaşımlı,Dahili,Belirtilmemiş,,2 Yıl,Resmi Distribütör Garantili,,,512 GB,,Q Türkçe,Ofis - İş,,,,,,8 GB,DDR4,Gümüş,512 GB,,,,1920 x 1080,Full HD (FHD),,7730U,7. Nesil,AMD Ryzen 7,8,Windows,,https://www.trendyol.com//hp/14-em0001nt-7-nesil-ryzen-7-7730u-8gb-512gb-ssd-14inc-w11-p-779234939?boutiqueId=61&merchantId=624588,15.999 TL
12 GB,Bluetooth - HDMI,Mini HDMI - VGA,,2 kg ve Altı,Yok,"15,6 inç",Intel UHD Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmasız),Ofis - İş,2.8,,Yok,IPS,,8 GB,DDR4,Gümüş,128 GB,,,1.1,1920 x 1080,Full HD (FHD),,N4020,4. Nesil,Intel Celeron,2,Windows,3 Saat ve Altı,https://www.trendyol.com//asus/x515ma-ej680ww-n4020-8gb-128gb-emmc-uyumlu-11-home-15-6-full-hd-p-775530641?boutiqueId=61&merchantId=773412,8.099 TL
64 GB,HDMI,,,4 kg ve Üstü,,"24"" / 61 Ekran",AMD Radeon RX 550,GDDR5,4 GB,Harici,75 Hz,,2 Yıl,Resmi Distribütör Garantili,,Var,HDD Yok,512 GB,RGB,Oyun,,,Yok,TN,500 W ve üstü,16 GB,DDR4,,512 GB,,LGA 1200,2.9,1920 x 1080,Full HD (FHD),3.00 GHz üstü,10400F,10. Nesil,Intel Core i5,6,Free Dos,,https://www.trendyol.com//biggamex/sx62-windows-11-pro-i5-10400f-16gb-512gb-ssd-rx550-23-8-oyuncu-bilgisayari-p-753303828?boutiqueId=61&merchantId=192618&advertItems=eyJhZHZlcnRJZCI6IjI4YjZlYzg3LThiMGYtNGVmZS1hYTJiLTI2YjMxMThlMjhlNSIsInNvcnRpbmdTY29yZSI6MC4wODM2MTg2MzcyMjY1MjE5NCwiYWRTY29yZSI6MC4wMzUwMzA4NDkyNzc5NzMxNzUsImFkU2NvcmVzIjp7IjEiOjAuMDM1MDMwODQ5Mjc3OTczMTc1LCIyIjowLjAzNTAzMDg0OTI3Nzk3MzE3NX0sImNwYyI6Mi4zODY5OTk5OTk5OTk5OTksIm1pbkNwYyI6MCwiZUNwYyI6Mi4zODY5OTk5OTk5OTk5OTksImFkdmVydFNsb3QiOjQwLCJvcmRlciI6MTUsInNlYXJjaFRlcm0iOiJiaWxnaXNheWFyIiwiYXR0cmlidXRlcyI6IiJ9,15.949 TL
,Bluetooth - HDMI,,,2 kg ve Altı,Yok,"15,6 inç",Intel Iris Graphics,Dahili,Paylaşımlı,Dahili,60 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmasız),Ev - Okul,4.4,,,TN,,24 GB,DDR4,Gümüş,1 TB,,,1.3,1920 x 1080,Full HD (FHD),,1235U,12. Nesil,Intel Core i5,10,Free Dos,,https://www.trendyol.com//asus/vivobook-15-i5-1235u-24gb-1tb-ssd-15-6-freedos-tasinabilir-bilgisayar-x1502za-ej1067tr11-p-738401475?boutiqueId=61&merchantId=107204,18.299 TL
,USB - Bluetooth - HDMI,,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,HP Türkiye Garantili,,,HDD Yok,,Q Türkçe (RGB Aydınlatmalı),Oyun,5.0,,,IPS,,16 GB,DDR5,Siyah,1 TB,,,,1920 x 1080,Full HD (FHD),,Belirtilmemiş,7. Nesil,AMD Ryzen 5,6,Free Dos,,https://www.trendyol.com//hp/victus-gaming-laptop-16-s0018nt-r5-7640hs-16gb-1tbssd-rtx4060-dos-16-1-fhd-144hz-notebook-7z4m8ea-p-738421982?boutiqueId=61&merchantId=106740,33.499 TL
16 GB,HDMI,,,2 - 4 kg,Yok,"15,6 inç",Nvidia GeForce RTX 3050,GDDR6,4 GB,Harici,120 Hz,,2 Yıl,Lenovo Türkiye Garantili,,,HDD Yok,,Q Türkçe + Numerik (Aydınlatmalı),Oyun,4.4,,,IPS,,16 GB,DDR4,Gri,512 GB,Gen 3,,3.3,1920 x 1080,Full HD (FHD),,12450H,12. Nesil,Intel Core i5,12,Free Dos,3 Saat ve Altı,https://www.trendyol.com//lenovo/ideapad-gaming-3-intel-core-i5-12450h-16gb-512gb-ssd-rtx3050-freedos-15-6-ips-tasinabilir-bi-p-784770988?boutiqueId=61&merchantId=106740,24.999 TL
16 GB,Wi-Fi,,Tek Ebat,4 kg ve Üstü,,"24"" / 61 Ekran",Nvidia GeForce GTX 1660 SUPER,GDDR6,4 GB,Harici,,,2 Yıl,Zeiron Türkiye Garantili,,Var,,500 GB,RGB,Oyun,,Üniversite,Yok,TN,500 W ve üstü,16 GB,,,256 GB,,,3.2,1920 x 1080,Full HD (FHD),3.00 GHz üstü,İ5-3470,3. Nesil,Intel Core i5,4,Free Dos,,https://www.trendyol.com//zeiron/game-v1-i5-3470-16gb-256gb-ssd-500gb-hdd-6gb-gtx1660-super-23-8-oyuncu-masaustu-bilgisayar-p-655942039?boutiqueId=61&merchantId=127037&advertItems=eyJhZHZlcnRJZCI6IjYxZGZmZTVkLTBmZTAtNGNhNy1hYmRmLTBiNjJmMTEyNDU0YSIsInNvcnRpbmdTY29yZSI6MC4wODM0MjYzNjI0NjIzNDE4LCJhZFNjb3JlIjowLjA1MDU2MTQzMTc5NTM1ODY2LCJhZFNjb3JlcyI6eyIxIjowLjA1MDU2MTQzMTc5NTM1ODY2LCIyIjowLjA1MDU2MTQzMTc5NTM1ODY2fSwiY3BjIjoxLjY1MDAwMDAwMDAwMDAwMDEsIm1pbkNwYyI6MCwiZUNwYyI6MS42NTAwMDAwMDAwMDAwMDAxLCJhZHZlcnRTbG90Ijo0MSwib3JkZXIiOjE5LCJzZWFyY2hUZXJtIjoiYmlsZ2lzYXlhciIsImF0dHJpYnV0ZXMiOiIifQ==,13.499 TL
32 GB,HDMI,,,2 - 4 kg,Yok,16 inç,Nvidia GeForce RTX 4050,GDDR6,6 GB,Harici,165 Hz,,2 Yıl,Asus Türkiye Garantili,,,HDD Yok,Yok,RGB Türkçe,Oyun,4.9,,Yok,IPS,,16 GB,DDR5,Siyah,512 GB,,,2.6,1920 x 1200,WUXGA,,13650HX,13. Nesil,Intel Core i7,14,Free Dos,4-6 Saat,https://www.trendyol.com//asus/rog-strix-g16-g614ju-n3195-intel-i7-13650hx-16gb-ddr5-512gb-ssd-6gb-rtx4050-16-wuxga-165hz-dos-p-661623406?boutiqueId=61&merchantId=105919,41.299 TL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.trendyol.com//apple/macbook-air-mgnd3tu-a-m1-8gb-256gb-ssd-retina-13-3inc-gold-p-410963851?boutiqueId=61&merchantId=624588,27.499 TL
,USB - Bluetooth - HDMI,,,2 - 4 kg,Yok,"16,1 inç",Nvidia GeForce RTX 4060,GDDR6,8 GB,Harici,144 Hz,,2 Yıl,Resmi Distribütör Garantili,,,HDD Yok,,Q Türkçe (Aydınlatmalı),Oyun,,,,IPS,,16 GB,DDR5,Mavi,512 GB,,,,1920 x 1080,Full HD (FHD),,7840HS,7. Nesil,AMD Ryzen 7,8,Free Dos,,https://www.trendyol.com//hp/victus-7z586ea-16-s0015nt-ryzen-7-7840hs-16gb-ddr5-512gb-rtx4060-8gb-144hz-freedos-gaming-laptop-p-741749732?boutiqueId=632399&merchantId=105369,35.609 TL
